COO Task,COO Complete,CTO Task,CTO Complete,CFO Task,CFO Complete,CMO Task,CMO Complete,Due Date
Read Course Syllabus & Schedule,,,,,,,,1/22
Review Meet the Professor,,,,,,,,1/22
Student Introductions (DB1),,,,,,,,1/29
Schedule Prof Intro Office Visit,,,,,,,,3/26
DB2: Biz of Biz is Biz,,,,,,,,2/5
Assign ENT Interview,,,,,,,,4/16
DB3: Focus on Founder,,,,,,,,2/12
Meet Prof Office Visit,,,,,,,,3/26
Pitch Night #2,,Pitch Night #2,,Pitch Night #2,,Pitch Night #2,,2/20
DB4: Focus on Maxwell Pt 1,,,,,,,,2/26
BP: PART A (Ops/HR),,BP: PART A (Ops/HR),,,,,3/5
Discovery Interview Qs,,Discovery Interview Qs,,,,Discovery Interview Qs,,3/12
DB5: Maxwell Pt 2,,,,,,,,3/12
DB6: Maxwell Finale,,,,,,,,3/19
DB7: Focus on Aulet,,,,,,,,3/26
Conduct 5 Interviews,,Conduct 5 Interviews,,,,Conduct 5 Interviews,,3/26
DB8: Social Entrepreneurship,,,,,,,,4/2
DB9: Focus on CS4,,,,,,,,4/16
Entrepreneur Interview,,,,,,,,4/16
BP: PART C,,BP: PART C,,BP: PART C,,BP: PART C,,4/23
DB10: Interview AHA,,,,,,,,4/30
Make Video Presentation,,Make Video Presentation,,Make Video Presentation,,Make Video Presentation,,4/30
BP: TOTAL PLAN,,BP: TOTAL PLAN,,BP: TOTAL PLAN,,BP: TOTAL PLAN,,5/7
BP Presentations,,BP Presentations,,BP Presentations,,BP Presentations,,5/8
OCA Assessment,,OCA Assessment,,OCA Assessment,,OCA Assessment,,5/15
